#File format: word,sPoint,nPoint,yPoint,iPoint

#Sayori's winning words
happiness,3,2,1,1
mc,3,3,3,2
death,3,1,2,1,1
tragedy,3,1,2,1
alone,3,1,2,1
love,3,2,1,1
adventure,3,2,1,1
sweet,3,2,1,1
excitement,3,2,1,1
fireworks,3,2,1,1
romance,3,2,1,1
tears,3,1,2,1
depression,3,1,2,1
heart,3,2,1,1
marriage,3,2,1,1
passion,3,2,1,1
childhood,3,2,1,1
fun,3,2,1,1
color,3,2,1,1
hope,3,1,2,1
friends,3,2,1,1
family,3,2,1,1
party,3,2,1,1
vacation,3,2,1,1
lazy,3,2,1,1
daydream,3,1,2,1
pain,3,1,2,1
holiday,3,2,1,1
bed,3,2,1,1
feather,3,2,1,1
shame,3,1,2,1
fear,3,1,2,1
warm,3,2,1,1
flower,3,2,1,1
comfort,3,2,1,1
dance,3,2,1,1
sing,3,2,1,1
cry,3,1,2,1
laugh,3,2,1,1
dark,3,1,2,1
sunny,3,2,1,1
raincloud,3,2,1,1
calm,3,1,2,1
silly,3,2,1,1
flying,3,2,1,1
wonderful,3,2,1,1
unrequited,3,1,2,1
rose,3,1,2,1
together,3,2,1,1
promise,3,2,1,1
charm,3,2,1,1
beauty,3,2,1,1
cheer,3,2,1,1
smile,3,2,1,1
broken,3,1,2,1
precious,3,2,1,1
prayer,3,1,2,1
clumsy,3,2,1,1
forgive,3,1,2,1
nature,3,2,1,1
ocean,3,2,1,1
dazzle,3,2,1,1
special,3,2,1,1
music,3,2,1,1
lucky,3,2,1,1
misfortune,3,1,2,1
loud,3,2,1,1
peaceful,3,1,2,1
joy,3,1,2,1
sunset,3,2,1,1
fireflies,3,2,1,1
Querxes,3,2,1,2

#ironmouse words
youtube,1,2,1,3
gamer,2,1,2,3
Twtich,1,1,1,3
Minecraft,2,2,1,3
vtuber,2,1,2,3
girl,2,1,2,3
kind,2,1,2,3
loveing, 2,1,2,3
mouse, 2,1,2,3
rat, 2,1,2,3
ConnerDewg, 2,1,2,3
projectmeldy, 2,1,2,3
scared, 2,1,2,3
Nyanners, 2,1,2,3
sing, 2,1,2,3
cutes, 2,1,2,3




#Natsuki's words
cute,2,3,1,1
fluffy,2,3,1,1
pure,1,3,2,1
candy,2,3,1,1
shopping,2,3,1,1
puppy,2,3,1,1
kitty,2,3,1,1
clouds,2,3,1,1
lipstick,1,3,2,1
parfait,2,3,1,1
strawberry,2,3,1,1
pink,2,3,1,1
chocolate,2,3,1,1
heartbeat,1,3,2,1
kiss,1,3,2,1
melody,2,3,1,1
ribbon,2,3,1,1
jumpy,2,3,1,1
doki-doki,2,3,1,1
kawaii,2,3,1,1
skirt,2,3,1,1
cheeks,2,3,1,1
email,2,3,1,1
sticky,2,3,1,1
bouncy,2,3,1,1
shiny,2,3,1,1
nibble,2,3,1,1
fantasy,1,3,2,1
sugar,2,3,1,1
giggle,2,3,1,1
marshmallow,2,3,1,1
hop,2,3,1,1
skipping,2,3,1,1
peace,2,3,1,1
spinning,2,3,1,1
twirl,2,3,1,1
lollipop,2,3,1,1
poof,2,3,1,1
bubbles,2,3,1,1
whisper,2,3,1,1
boop,2,3,1,1
bunny,2,3,1,1
anime,2,3,1,1
jump,2,3,1,1

#Yuri's words
Chloe,1,1,3,1
determination,1,1,3,1
suicide,2,1,3,1
imagination,2,1,3,1
secretive,2,1,3,1
vitality,1,1,3,1
existence,2,1,3,1
effulgent,1,1,3,1
crimson,1,1,3,1
whirlwind,1,1,3,1
afterimage,1,1,3,1
vertigo,1,1,3,1
disoriented,1,1,3,1
essence,2,1,3,1
ambient,2,1,3,1
starscape,2,1,3,1
disarray,1,1,3,1
contamination,1,1,3,1
intellectual,1,1,3,1
analysis,1,1,3,1
entropy,1,1,3,1
vivacious,1,1,3,1
uncanny,2,1,3,1
vivid,2,1,3,1
vibrant,1,2,3,1
question,1,2,3,1
fester,2,1,3,1
judgment,1,1,3,1
cage,1,2,3,1
explode,1,2,3,1
pleasure,1,2,3,1
lust,1,2,3,1
sensation,1,2,3,1
climax,1,2,3,1
electricity,1,2,3,1
disown,1,1,3,1
despise,2,1,3,1
infinite,2,1,3,1
eternity,2,1,3,1
time,2,1,3,1
universe,2,1,3,1
unending,2,1,3,1
raindrops,2,1,3,1
covet,1,1,3,1
unrestrained,1,1,3,1
landscape,2,1,3,1
portrait,2,1,3,1
journey,2,1,3,1
meager,1,1,3,1
anxiety,2,1,3,1
frightening,2,1,3,1
horror,2,1,3,1
melancholy,2,1,3,1
insight,2,1,3,1
atone,2,1,3,1
breathe,1,2,3,1
captive,2,1,3,1
desire,1,2,3,1
graveyard,2,1,3,1

#Repeated Words
poof,2,3,1,1
bubbles,2,3,1,1
whisper,2,3,1,1
boop,2,3,1,1
bunny,2,3,1,1
anime,2,3,1,1
jump,2,3,1,1
contamination,1,1,3,1
intellectual,1,1,3,1
analysis,1,1,3,1
entropy,1,1,3,1
vivacious,1,1,3,1
uncanny,2,1,3,1
vivid,2,1,3,1
vibrant,1,2,3,1
question,1,2,3,1
fester,2,1,3,1
cute,2,3,1,1
fluffy,2,3,1,1
pure,1,3,2,1
candy,2,3,1,1
shopping,2,3,1,1
puppy,2,3,1,1
